customer_id,age,gender,city,tenure_months,contract_type,monthly_charges,total_spend,num_products,login_frequency,last_login_days,support_tickets,payment_method,device,satisfaction_score,referral_source,churn
CUST_00000,55.16918856,Male,Mumbai,11.26243416,Month-to-Month,16.672943,399.7657941,4,4.0,9.151080272,0,Credit Card,Mobile,5.0,Email,1
CUST_00001,35.19792822,Male,Delhi,72.24291434,Two Year,11.99992816,866.909782,1,10.0,17.50385933,0,UPI,Mobile,5.0,Referral,0
CUST_00002,25.18397378,Male,Pune,31.60189665,Two Year,13.97600932,441.668402,7,7.0,28.10503958,1,Debit Card,Desktop,4.0,Paid Ad,0
CUST_00003,35.19792822,Male,Kolkata,21.91062129,One Year,0.75135079,16.46256263,5,4.0,1.028240386,2,Credit Card,Mobile,3.0,Social Media,0
CUST_00004,28.39359238,Female,Delhi,4.070996891,Month-to-Month,17.63038161,71.77322871,5,8.0,11.69047286,3,Debit Card,Mobile,4.0,Referral,0
CUST_00005,27.59923868,Female,Mumbai,4.070311006,One Year,63.33727212,257.8023958,1,9.0,7.247788396,2,Debit Card,Desktop,4.0,Social Media,1
CUST_00006,40.19820881,Male,Mumbai,1.436130447,Two Year,16.672943,187.0303034,7,7.0,9.755411175,5,credit card,Mobile,1.0,Organic,1
CUST_00007,18.0,Female,Hyderabad,48.26954075,Two Year,3.536708864,170.7153126,3,11.0,5.498532959,1,UPI,Desktop,5.0,Paid Ad,0
CUST_00008,18.0,Male,Mumbai,22.05797169,Month-to-Month,3.763289995,83.01054417,5,7.0,0.284233803,1,Debit Card,Mobile,4.0,Email,1
CUST_00009,35.23149056,Female,Chennai,29.55000148,Two Year,1.764334763,52.13609487,7,6.0,18.32283997,0,Credit Card,Mobile,4.0,Organic,0
CUST_00010,34.73229753,Female,Mumbai,0.499183392,Month-to-Month,2227.332343,2227.332343,1,12.0,9.509804408,2,Credit Card,Desktop,1.0,Social Media,1
CUST_00011,39.12265492,Male,Delhi,84.0853794,Month-to-Month,2.998131749,252.0990456,1,7.0,5.492067371,1,Net Banking,Desktop,4.0,Organic,0
